act,u1600,d1410,d1430,d1360,d1470,d1460,u1560,u1630,d1400,u1570,u1510,d1370,u1550,d1490,d1380,d1300,u1700,u1690,d1340,u1680,d1480,u1580,u1520,u1640,d1390,u1660,u1530,d1320,u1500,d1440,u1610,u1650,d1420,u1540,d1450,d1330,u1590,d1310,u1670,d1350,u1620
28,74.17299955930207,79.29087967336093,75.70910024462943,79.47470629966114,78.2291430425924,72.99488828451811,81.71347027664716,78.69339937509778,79.7419350459529,79.01358038433145,78.40154094639801,76.62425530094357,75.83786446304603,77.08975153079017,95.3809695089731,79.18592716628042,83.61264233641195,75.92908659665775,80.84280553503116,82.7187367131852,77.00463243434046,80.2683002085571,82.72740396041026,81.79059972447929,69.62266057031087,79.3504498376537,78.72644700799802,79.27636583570691,85.19346948837838,76.34856721229633,75.55218670700916,84.70319808957542,76.18338715528411,84.39308671057076,77.72776036740089,76.31591473354152,84.29770174409845,78.32139169088265,78.45730654703073,88.29586351615416,81.16692579078105
24,-79.14250385901056,-80.92415337483459,-79.09036901068538,-80.10783295975874,-80.00999691610002,-82.0151343369005,-79.71636152994746,-82.4464792014117,-81.93355165401178,-79.70878977910729,-79.28534864037431,-82.2899822234797,-79.76368882306612,-81.51172976323059,-79.77318161840385,-82.29950917765237,-80.99415258508692,-79.74348611412177,-79.59504527519442,-80.08548345999232,-80.72851862282236,-79.56778643521952,-80.77517648896445,-81.36791188350466,-80.99559390931569,-81.94288270909135,-80.16708169432914,-82.07403262177262,-82.29357326278523,-82.31499887890581,-81.7128388896189,-81.59398420265813,-80.78066221452964,-80.32561448710784,-80.08585136160085,-82.32287137859657,-81.15862328137396,-80.96782785439464,-78.20647053836088,-79.37077978320082,-57.64195349540904
25,-43.667736862936856,-43.88982054559756,-50.326602316144616,-44.22526649364743,-43.873255946889486,-45.15829031272752,-44.48809741435099,-44.15983115769476,-45.73806898862223,-44.523185886288545,-45.27778227001315,-44.84131942503794,-43.14249667707301,-44.60432384806624,-45.64563694266015,-44.77766100995224,-43.067581145387294,-48.349907032538184,-45.13183396125446,-43.38758084190852,-46.68583425532697,-48.82916539872055,-45.59314410772831,-46.28346970833722,-44.41442246407608,-44.17377624341648,-44.95015612476975,-46.015122889754494,-44.46719790514929,-44.60756059170606,-44.50503725389174,-44.5380030038852,-47.10022518332546,-44.57878459936174,-43.402778064280554,-44.99063581505565,-48.051543110355055,-40.356235900340366,-49.56630494910821,-44.45013320786215,-45.06746557144464
26,-18.025018921773693,-16.505445807017438,-18.069979855365993,-17.947939821597256,-16.529382400104993,-19.487572867544092,-17.343884809008493,-18.66432459585266,-17.365429576509054,-18.413584508517744,-17.605067542566523,-18.174688212211834,-18.110616679129468,-19.275140581495517,-18.277537565697024,-16.485298766512962,-16.403049089056537,-18.67225939082477,-18.30001603782893,-18.00236607258241,-17.97023572428832,-18.02819167856794,-17.992428725544283,-18.401357035018304,-18.519438110349412,-18.088999679405248,-18.302319985164043,-16.50802890043064,-18.461141208607934,-18.945315949033592,-18.011705011860958,-19.181474343881607,-18.345809930989276,-18.918218112477827,-17.042814494034513,-17.69022169470644,-18.067008701556947,-18.305326629353868,-16.56552354948521,-19.39024773533029,-18.983857787828647
27,26.176648665753806,22.68861014644074,22.915510580696314,22.31652834096808,22.418827943854065,23.98468903512871,20.67887331313061,25.780149042921366,21.583233123908695,22.070072641476056,27.582671702260274,20.660355481451084,21.71338271565945,21.33810719465345,26.420625890587008,20.835719195336544,23.82566184897232,22.360753147481823,22.764544091451533,24.842786854412143,20.537363441494524,24.380630578806027,23.239219018239524,22.152524926696607,25.452732668538527,26.093089928346796,23.139489981069513,23.090847811586535,22.201315738007118,19.383966709500925,27.352710060906944,22.727748746419728,22.879570566834207,23.431268367468736,23.001874823315624,21.788004368370835,23.241442215046508,25.098901108037307,23.07227977500007,20.060731760366153,23.38532213231457
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.132017148723634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,380.00323932122876,0.0,41.244250950973324,0.0,0.0,0.0,0.0,42.274322319113004,49.50000436557161,93.89803790656713,49.259228580233135,26.823942892830406,92.3436308456011,0.0,28.692543891934488,48.368209195382015,0.0,48.25202141452468,0.0,42.89054238385599,93.58611181414366,0.0,90.34275294760494,0.0,73.27333587116013,0.0,49.41539017690295,49.46932971102009,73.93957868210794,49.276321240180984,81.69804331874593,48.33490734222655,0.0,93.15260940616535,0.0,0.0,0.0,48.74511312164735,0.0,0.0
22,204.14444802998247,209.32707011434564,205.99553009840307,217.61684625377896,201.8956471702497,210.66492367090515,204.13372536319534,208.03060519915144,207.07422173045728,203.82615104095407,204.871423323767,186.7667821580886,209.62353043587382,204.3181665084747,204.05372476797584,206.67333384514242,207.45636448495875,188.9272547769373,204.30396776045205,201.6940731237259,271.0992878819989,210.42451753274742,196.596906643563,192.55796218229924,202.25719832394492,194.7284832846417,205.24563041283895,204.0845430815487,195.5816377567139,203.36136824015583,198.6970550072665,193.32261678115614,203.77508782645816,199.11438267441585,201.74184912771406,205.84303164653647,199.95517404326495,184.8348087096518,207.32902016263893,203.67673225397286,209.87103005928813
23,-13.977170738795046,-12.141988400089728,-2.3143869684433476,-16.7048421562611,-14.809722850246047,-14.168115262583804,-15.628111843834223,-13.302804389032659,-12.001046213816489,-13.47487969699305,-17.22088790224582,-13.638798517200062,-16.550042453463373,0.2572845891381199,-15.046323534711316,-15.477201106600653,-14.501325394315767,-18.65473945949669,-15.988380377634003,-16.58876482979127,-17.231180405801062,-14.477462137845656,-13.833778265418173,-15.486964909247646,-17.348065118506028,38.92561009699507,-16.24124994727432,3.162915192411294,-14.939405994697395,-14.649704852616603,-15.697771876188366,-15.016210749455588,-16.67043541379824,-20.50453743755341,0.04736735702662642,-19.548982498039138,3.117923534739198,-14.13487402744875,-15.644581165951534,0.006486896529636965,-15.015005052243687
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4122803242653,0.0,0.0,0.0,0.0,0.0,0.0,49.43557042965056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
