act,d1390,d1320,u1670,u1620,d1480,u1660,d1460,u1500,d1340,u1590,d1400,u1640,d1470,d1450,u1560,u1650,d1370,u1690,d1300,u1630,d1410,d1380,u1600,u1610,u1510,u1570,u1520,d1360,d1330,d1440,d1310,u1700,u1680,u1530,d1350,d1420,u1550,u1580,d1430,d1490,u1540
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5,23.762115802494854,25.90576661131726,19.952728545884042,24.294536247946297,11.77582068086958,23.883842924937493,23.46644467731144,25.930494642477107,22.054970929576186,24.39742304493179,14.373622132935873,22.712167949511645,23.75550056257058,15.208902898907928,24.696250782048793,15.553123999564047,25.244060319850913,23.57200012523842,26.927451129800932,21.850893276485607,26.794904515998137,25.89313639342577,21.85810813459134,17.666627418077113,14.779349456473934,21.96810613960752,23.832520329538728,25.81668925210879,21.251471637992225,25.751699182982208,24.68115491629035,55.095780178622384,20.237783768572527,26.930728832380627,23.85316733252558,19.613922496291444,26.684261813945078,23.602098255764282,25.73977331336278,23.704427020033147,13.178167825448712
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6,370.49168656231836,358.2524438548211,371.49082983010254,369.4294679413261,261.3390628913628,371.39650589550695,347.4900792669781,310.97703686264356,356.54329388575326,300.16190997131736,370.54738407726614,371.58452884257474,356.3772962907792,335.14367875037885,371.6581036512305,369.99657056844455,369.9400458773794,369.6674338680105,290.77286960338336,370.7159359984412,369.8141465611895,371.5709182460553,345.64544248923835,367.4870943702206,294.4146420329265,354.65039061055234,370.8349042172286,371.3020218172492,342.2549888820266,371.34670744601186,371.1741373946921,335.54858812384475,358.23699239008954,370.21630784373167,340.6029205203755,369.46152423474183,371.29467006558343,254.27984454303797,370.92346556156144,319.28974417275094,334.2426418986718
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.82791411605925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4,-95.66259464325664,-97.71540216630879,-84.21904123333277,-96.46683508996921,-97.8109875406889,-96.85384391081668,-96.42125457447457,-96.93822574154265,-95.66291428948722,-97.2104968177726,-96.66435760574394,-95.20387444583446,-97.12410289282201,-94.93927769655532,-97.93991185467168,-97.1201845240596,-96.48090290877185,-97.14383596475864,-94.95675233479918,-96.38361820419678,-95.98755431786822,-95.95850366908724,-97.05545284855522,-95.02209025584024,-95.56903266672505,-97.4283685873834,-97.54565133796629,-96.19344541314247,-95.28596445602062,-95.26093008452015,-97.23908529906916,-97.89177806580258,-97.1825489981812,-95.47450253932178,-95.49533251915234,-96.99531015780697,-97.60041076857806,-97.82892905761551,-96.393553485342,-96.82216193949398,-96.0005153832758
6,362.433105958011,288.65079643355693,362.0052650941288,328.0894635773826,367.4469080102116,365.37847414151065,359.4063034984867,252.25092216745261,237.57471206838628,327.956277602975,317.6700041944067,368.06597352491445,367.33746190822495,333.9994890746208,299.40132877521575,268.3779242735221,366.3356343848614,367.7725844313511,321.2171819625302,355.8908893413939,309.0068144501093,329.35519264529864,347.2844942699792,303.1073976272959,319.52620965320534,367.94916778824864,310.02196803821585,297.9229581903102,367.74606826765825,367.1508935544224,313.6389565016504,344.8686154142242,366.0030451428301,334.3046777999809,359.7249969294031,319.5775330222885,366.0485710204493,273.2507688185803,366.1225719172989,352.93136750024314,366.09080655152763
-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.19683654979514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,97.65844416708187,94.55340252891003,97.3247472211264,94.45904672065255,92.02327748251899,98.27079448552857,93.7766861422983,98.2407022921996,97.80124554905808,85.22780979887214,97.96584834900065,94.73111659674343,91.82600978134687,92.72248772918458,92.44526214796649,94.8577265268713,97.65439015093114,90.66911937200675,93.18804774111612,94.11201314265352,93.49342605353927,92.89868145106597,94.79069034110461,94.75549628169226,91.24741338841743,95.22643315825809,93.7771509184532,97.80143664109418,95.09648057690738,98.2743320946727,98.51784595984935,91.4958949251875,94.66225096159204,94.0339415167201,98.39764412860062,91.0034889482354,95.45797283464138,95.20971775532253,94.75268691096099,97.35729501310679,98.10394100703168
